classname , cbo , dit , fanIn , fanOut , lcom , noc , numberOfAttributes , numberOfAttributesInherited , numberOfLinesOfCode , numberOfMethods , numberOfMethodsInherited , numberOfPrivateAttributes , numberOfPrivateMethods , numberOfPublicAttributes , numberOfPublicMethods , rfc , wmc , bugs ,,,,, 
org::eclipse::pde::internal::core::WorkspacePluginModelManager ,26,3,1,25,231,0,2,1,314,22,30,2,4,0,2,194,93,1,,,,, 
org::eclipse::pde::internal::ui::editor::toc::actions::TocRemoveObjectAction ,3,1,1,2,10,0,2,0,46,5,0,2,1,0,4,13,13,0,,,,, 
org::eclipse::pde::internal::ui::wizards::plugin::NewPluginProjectWizard ,13,2,1,12,36,0,11,0,110,9,8,7,0,0,8,52,22,0,,,,, 
org::eclipse::pde::internal::ui::editor::build::BuildClasspathSection ,25,5,1,24,136,0,2,2,212,17,73,2,6,0,8,117,50,0,,,,, 
org::eclipse::pde::internal::ui::correction::AddSingletonToSymbolicName ,4,3,1,3,6,0,1,5,28,4,14,1,0,0,3,11,12,0,,,,, 
org::eclipse::pde::internal::ui::views::dependencies::CallersContentProvider ,2,3,2,0,1,2,0,0,13,2,16,0,0,0,1,5,4,0,,,,, 
org::eclipse::pde::internal::runtime::spy::SpyFormToolkit ,13,1,7,6,66,0,5,0,177,12,0,5,5,0,7,74,31,0,,,,, 
org::eclipse::pde::internal::runtime::registry::ServiceReferenceAdapter ,3,3,1,2,6,0,0,1,15,4,5,0,0,0,3,8,5,0,,,,, 
org::eclipse::pde::internal::ui::wizards::exports::BaseExportWizard ,9,1,6,3,55,2,1,11,45,11,0,0,0,0,6,30,12,0,,,,, 
org::eclipse::pde::internal::ui::tests::macro::PlaybackAction ,3,1,0,3,15,0,1,0,32,6,6,1,1,0,5,16,8,0,,,,, 
org::eclipse::pde::internal::ui::editor::plugin::rows::TranslatableAttributeRow ,4,4,0,4,3,0,0,7,13,3,36,0,0,0,1,13,4,0,,,,, 
org::eclipse::pde::internal::ui::wizards::product::NewProductFileWizard ,6,1,1,5,15,0,1,0,32,6,0,1,1,0,4,21,7,0,,,,, 
org::eclipse::pde::internal::ui::wizards::site::NewSiteProjectWizard ,5,2,1,4,6,0,3,0,34,4,8,2,0,0,4,15,5,0,,,,, 
org::eclipse::pde::internal::core::util::Headers ,4,1,0,4,190,0,4,0,93,20,0,4,2,0,18,44,30,0,,,,, 
org::eclipse::pde::internal::core::site::WorkspaceSiteModel ,13,5,5,8,105,0,4,2,95,15,80,4,0,0,13,45,20,0,,,,, 
org::eclipse::pde::internal::ui::editor::schema::SchemaDtdDetailsSection ,4,1,1,3,3,0,2,0,42,3,0,2,0,0,2,12,9,0,,,,, 
org::eclipse::pde::internal::core::util::XMLComponentRegistry ,6,1,6,0,91,0,10,0,97,14,6,5,4,0,10,43,31,0,,,,, 
org::eclipse::pde::internal::core::text::cheatsheet::simple::SimpleCSModel ,14,6,11,4,15,0,3,5,32,6,93,3,0,0,3,12,8,0,,,,, 
org::eclipse::pde::internal::ui::editor::build::SrcSection ,4,6,1,3,6,0,0,8,43,4,103,0,0,0,1,21,6,0,,,,, 
org::eclipse::pde::internal::core::search::PluginJavaSearchUtil ,14,1,4,10,21,0,0,0,102,7,6,0,3,0,4,69,32,0,,,,, 
org::eclipse::pde::internal::core::text::bundle::BundleSymbolicNameHeader ,14,5,11,3,15,0,1,4,31,6,64,1,0,0,6,20,13,0,,,,, 
org::eclipse::pde::internal::ui::editor::site::SiteUndoManager ,8,2,1,7,21,0,0,0,112,7,29,0,3,0,2,42,36,0,,,,, 
org::eclipse::pde::internal::core::text::plugin::DocumentGenericNode ,3,3,2,1,0,1,1,10,5,1,120,1,0,0,1,2,1,0,,,,, 
org::eclipse::pde::internal::core::plugin::Plugin ,9,5,3,6,36,0,3,26,96,9,181,3,0,0,8,58,23,0,,,,, 
org::eclipse::pde::internal::ui::tests::macro::WidgetIdentifier ,11,1,10,1,15,0,2,0,27,6,6,0,0,2,6,12,10,0,,,,, 
org::eclipse::pde::internal::ui::editor::feature::EditorBuildFeatureAction ,8,1,1,7,6,0,2,0,38,4,0,2,1,0,3,23,5,0,,,,, 
org::eclipse::pde::internal::ui::search::ManifestEditorOpener ,11,1,3,8,10,0,0,0,84,5,6,0,3,0,2,43,25,0,,,,, 
org::eclipse::pde::internal::core::feature::Feature ,33,5,2,31,1596,0,22,33,618,57,114,21,7,0,49,369,167,0,,,,, 
org::eclipse::pde::internal::core::builders::ElementOccurenceChecker ,11,1,1,10,210,0,0,0,307,21,6,0,19,0,2,122,63,0,,,,, 
org::eclipse::pde::internal::ui::refactoring::ContainerMoveParticipant ,0,3,0,0,0,0,0,2,3,1,11,0,0,0,1,1,1,0,,,,, 
org::eclipse::pde::internal::ui::templates::ide::ViewNewWizard ,2,6,0,2,3,0,0,0,10,3,20,0,0,0,3,6,3,0,,,,, 
org::eclipse::pde::internal::ui::views::dependencies::DependenciesView ,24,1,12,19,465,0,23,178,332,31,0,15,9,0,12,163,97,2,,,,, 
org::eclipse::pde::internal::ui::editor::toc::TocInputContextManager ,2,2,1,1,1,0,0,0,10,2,29,0,0,0,2,4,3,0,,,,, 
org::eclipse::pde::internal::ui::editor::build::RuntimeInfoSection ,29,3,2,28,528,0,8,0,724,33,22,4,17,0,6,352,172,0,,,,, 
org::eclipse::pde::internal::ui::launcher::PluginBlock ,19,2,1,18,66,0,1,9,170,12,35,0,4,0,2,89,47,2,,,,, 
org::eclipse::pde::internal::ui::wizards::exports::FeatureDestinationTab ,2,3,1,1,1,0,0,11,12,2,23,0,0,0,1,5,2,0,,,,, 
org::eclipse::pde::internal::ui::editor::feature::InfoSection ,21,3,1,20,276,0,12,0,338,24,21,12,11,0,12,162,59,0,,,,, 
org::eclipse::pde::internal::ui::editor::schema::SchemaOverviewPage ,10,2,1,9,55,0,7,0,96,11,28,6,6,0,3,40,14,1,,,,, 
org::eclipse::pde::internal::ui::nls::ExternalizeStringsOperation ,12,1,2,10,36,0,4,0,152,9,0,4,5,0,3,89,30,0,,,,, 
org::eclipse::pde::internal::core::text::AbstractKeyValueTextChangeListener ,7,3,4,3,15,2,1,3,40,6,10,0,0,0,3,32,15,0,,,,, 
org::eclipse::pde::internal::core::text::bundle::BundleModel ,47,5,46,2,21,0,2,5,33,7,86,2,0,0,6,17,8,0,,,,, 
org::eclipse::pde::internal::ui::templates::rcp::IntroTemplate ,16,5,1,15,136,0,6,13,211,17,80,6,2,0,11,94,34,0,,,,, 
org::eclipse::pde::internal::core::text::plugin::PluginExtensionNode ,11,5,1,10,66,0,2,17,64,12,208,2,0,0,12,59,23,0,,,,, 
org::eclipse::pde::internal::core::text::bundle::ImportPackageObject ,12,4,5,7,15,0,1,4,38,6,51,1,1,0,5,32,10,0,,,,, 
org::eclipse::pde::internal::ui::editor::cheatsheet::simple::details::SimpleCSIntroDetails ,10,4,1,9,78,0,5,0,159,13,32,5,2,0,11,57,22,0,,,,, 
org::eclipse::pde::internal::ui::correction::DeletePluginBaseResolution ,1,2,1,0,6,0,0,5,17,4,12,0,0,0,3,6,4,0,,,,, 
org::eclipse::pde::internal::core::text::bundle::Bundle ,19,1,9,11,78,0,2,0,111,13,13,2,0,0,12,74,30,0,,,,, 
org::eclipse::pde::internal::ui::compare::PluginStructureViewer ,2,1,1,1,0,0,0,0,34,1,0,0,0,0,1,4,1,1,,,,, 
org::eclipse::pde::internal::ui::editor::plugin::BundleInputContext ,18,3,1,17,55,0,2,1,97,11,41,1,3,0,3,72,25,0,,,,, 
org::eclipse::pde::internal::core::text::cheatsheet::simple::SimpleCS ,3,5,1,2,171,0,1,110,61,19,422,1,0,0,19,38,19,0,,,,, 
org::eclipse::pde::internal::ui::editor::PDEFormEditorContributor ,24,1,19,9,210,4,9,0,120,21,0,6,1,0,18,55,32,0,,,,, 
org::eclipse::pde::internal::ui::search::dependencies::UnusedDependenciesAction ,5,1,4,1,1,0,2,0,11,2,0,2,0,0,2,5,2,0,,,,, 
org::eclipse::pde::internal::core::bundle::BundlePluginModel ,6,8,4,2,6,0,1,2,11,4,219,1,0,0,4,7,3,0,,,,, 
org::eclipse::pde::internal::ui::refactoring::ManifestTypeMoveParticipant ,6,2,0,6,10,0,0,2,44,5,7,0,0,0,1,28,13,0,,,,, 
org::eclipse::pde::internal::core::schema::Schema ,53,3,17,37,3321,1,17,7,847,82,33,16,29,0,53,495,259,1,,,,, 
org::eclipse::pde::internal::core::text::toc::TocTopic ,13,5,9,4,91,1,1,28,56,14,248,1,0,0,14,36,16,0,,,,, 
org::eclipse::pde::internal::core::product::ProductFeature ,3,3,1,2,21,0,3,0,25,7,34,3,0,0,7,10,8,0,,,,, 
org::eclipse::pde::internal::ui::editor::EditorUtilities ,18,1,3,15,120,0,4,0,194,16,6,4,11,0,5,107,57,0,,,,, 
org::eclipse::pde::internal::ui::editor::LaunchShortcutOverviewPage ,8,2,2,6,36,2,0,0,59,9,28,0,0,0,4,35,10,0,,,,, 
org::eclipse::pde::internal::ui::samples::SampleWizard ,11,1,5,9,171,0,8,0,124,19,0,8,0,0,19,56,34,0,,,,, 
org::eclipse::pde::internal::core::util::DOMParserWrapper ,4,1,1,3,10,0,2,0,20,5,6,0,0,0,4,13,6,1,,,,, 
org::eclipse::pde::internal::core::ModelFileAdapter ,2,2,2,0,1,0,1,0,7,2,10,1,0,0,2,2,2,0,,,,, 
org::eclipse::pde::internal::core::plugin::PluginAttribute ,9,3,1,9,36,0,3,5,63,9,67,2,0,0,7,39,20,0,,,,, 
org::eclipse::pde::internal::ui::editor::build::BuildSourceViewerConfiguration ,7,2,2,5,45,0,8,2,66,10,11,4,1,0,9,26,21,0,,,,, 
org::eclipse::pde::ui::launcher::JUnitWorkbenchLaunchShortcut ,5,1,0,5,1,0,0,0,52,2,0,0,0,0,0,19,8,1,,,,, 
org::eclipse::pde::internal::ui::views::dependencies::OpenPluginDependenciesAction ,5,1,3,2,1,0,1,0,11,2,0,1,0,0,2,6,2,0,,,,, 
org::eclipse::pde::internal::core::text::plugin::PluginModel ,6,7,6,0,10,0,0,5,14,5,157,0,0,0,5,6,5,0,,,,, 
org::eclipse::pde::internal::ui::wizards::WizardCollectionComparator ,3,1,1,2,3,0,1,0,24,3,0,1,0,0,3,8,7,0,,,,, 
org::eclipse::pde::internal::ui::editor::contentassist::TypeProposalLabelProvider ,2,1,1,1,1,0,0,0,9,2,0,0,0,0,2,3,3,0,,,,, 
org::eclipse::pde::internal::core::schema::EditableSchema ,3,4,2,1,15,0,1,8,21,6,90,1,0,0,6,9,7,0,,,,, 
org::eclipse::pde::internal::ui::preferences::MainPreferencePage ,2,1,0,2,15,0,4,0,71,6,0,4,0,0,4,28,10,3,,,,, 
org::eclipse::pde::internal::ui::wizards::feature::NewFeaturePatchWizard ,3,3,0,3,3,0,0,6,11,3,15,0,0,0,1,11,3,0,,,,, 
org::eclipse::ui::internal::views::log::OpenIDELogFileAction ,3,1,1,3,1,0,1,0,15,2,0,1,0,0,2,10,4,0,,,,, 
org::eclipse::pde::internal::ui::editor::feature::Choice ,6,1,6,0,6,0,2,0,13,4,6,2,0,0,4,4,4,0,,,,, 
org::eclipse::pde::internal::ui::editor::feature::IncludedFeaturesDetailsSection ,8,3,0,8,66,0,8,0,195,12,21,7,1,0,11,58,22,0,,,,, 
org::eclipse::pde::internal::core::builders::ElementOccurrenceResult ,2,1,2,0,10,0,4,0,18,5,6,4,0,0,5,5,5,0,,,,, 
org::eclipse::pde::internal::ui::editor::text::ResourceHyperlink ,6,2,4,2,3,0,1,1,57,3,10,1,1,0,2,19,11,0,,,,, 
org::eclipse::pde::internal::ui::wizards::plugin::OpenProjectWizardAction ,3,1,0,3,1,0,0,0,19,2,0,0,0,0,2,12,4,0,,,,, 
org::eclipse::pde::internal::core::exports::FeatureExportOperation ,46,1,9,37,528,2,9,0,582,33,6,2,7,0,6,273,139,6,,,,, 
org::eclipse::pde::internal::ui::editor::cheatsheet::simple::SimpleCSDefinitionPage ,16,2,1,15,45,0,2,0,144,10,29,1,1,0,6,62,29,0,,,,, 
org::eclipse::pde::internal::ui::launcher::LaunchAction ,21,1,0,21,171,0,3,0,223,19,0,3,16,0,2,131,62,1,,,,, 
org::eclipse::pde::internal::ui::util::PersistablePluginObject ,10,1,8,3,45,0,4,0,55,10,0,2,1,0,9,28,21,0,,,,, 
org::eclipse::pde::internal::ui::editor::ctxhelp::CtxHelpSourcePage ,9,4,2,7,66,0,0,0,53,12,70,0,0,0,7,31,16,0,,,,, 
org::eclipse::pde::internal::ui::search::dependencies::DependencyExtentSearchResultPage ,7,2,0,7,21,0,0,0,53,7,7,0,1,0,2,31,8,0,,,,, 
org::eclipse::pde::internal::ui::editor::plugin::rows::TextAttributeRow ,6,2,2,4,21,1,1,6,55,7,26,0,1,0,4,25,11,0,,,,, 
org::eclipse::pde::internal::core::text::toc::Toc ,4,6,2,2,21,0,1,28,22,7,262,1,0,0,7,12,7,0,,,,, 
org::eclipse::pde::internal::ui::correction::OptionalRequireBundleResolution ,5,3,1,4,6,0,1,5,21,4,14,1,0,0,3,12,7,0,,,,, 
org::eclipse::pde::internal::ui::editor::JarEntryEditorInput ,10,1,8,2,55,0,1,0,45,11,6,1,0,0,11,22,15,0,,,,, 
org::eclipse::pde::internal::ui::compare::PluginStructureViewerCreator ,1,1,0,1,1,0,0,0,6,2,6,0,0,0,2,3,2,1,,,,, 
org::eclipse::pde::internal::ui::elements::ElementList ,9,3,9,0,15,1,1,1,22,6,19,1,0,0,6,13,7,0,,,,, 
org::eclipse::pde::internal::core::build::ExternalBuildModel ,8,5,0,8,21,0,2,2,37,7,67,2,1,0,5,28,10,1,,,,, 
org::eclipse::pde::internal::core::natures::SiteProject ,1,2,0,1,3,0,0,0,9,3,6,0,0,0,3,5,3,0,,,,, 
org::eclipse::pde::internal::ui::editor::contentassist::display::SubstitutionTextReader ,5,2,1,4,45,1,8,0,76,10,25,7,0,0,4,28,24,0,,,,, 
org::eclipse::pde::internal::ui::editor::schema::SchemaStringAttributeDetails ,6,5,1,5,6,0,5,2,145,4,55,5,0,0,3,17,8,0,,,,, 
org::eclipse::pde::internal::core::PDERegistryStrategy ,13,1,4,13,136,1,5,0,155,17,0,5,7,0,7,92,51,1,,,,, 
org::eclipse::pde::internal::ui::launcher::FilteredCheckboxTree ,3,1,1,2,10,0,1,0,35,5,0,1,0,0,2,12,7,2,,,,, 
org::eclipse::pde::internal::ui::editor::schema::SchemaCompositorDetails ,6,4,1,5,10,0,3,2,64,5,47,3,0,0,5,30,7,0,,,,, 
org::eclipse::pde::internal::core::text::bundle::BundleActivatorHeader ,5,5,4,1,3,0,1,4,9,3,64,1,0,0,3,5,3,0,,,,, 
org::eclipse::pde::internal::ui::editor::plugin::ExportPackageSection ,35,5,2,34,595,0,10,2,525,35,73,10,21,0,6,243,108,0,,,,, 
org::eclipse::pde::internal::core::variables::TargetNLVariableResolver ,1,1,0,1,0,0,0,0,3,1,6,0,0,0,1,2,1,0,,,,, 
org::eclipse::pde::internal::ui::wizards::product::UpdateSplashProgressOperation ,21,1,1,20,435,0,17,0,415,30,6,8,22,0,8,141,73,0,,,,, 
org::eclipse::pde::internal::ui::templates::osgi::OSGiPreferencesServiceNewWizard ,2,6,0,2,3,0,0,0,11,3,20,0,0,0,3,6,3,0,,,,, 
org::eclipse::pde::ui::launcher::OSGiLaunchConfigurationInitializer ,8,1,4,4,28,1,1,0,37,8,6,0,1,0,2,27,10,1,,,,, 
org::eclipse::pde::internal::core::build::BuildEntry ,8,2,2,6,66,0,2,7,59,12,24,2,0,0,11,50,17,0,,,,, 
org::eclipse::pde::internal::core::plugin::ImportObject ,10,2,6,4,21,0,2,0,42,7,14,2,0,0,7,16,13,0,,,,, 
org::eclipse::pde::internal::ui::editor::feature::SynchronizeVersionsWizardPage ,12,1,1,11,45,0,9,0,152,10,0,6,7,0,3,62,28,0,,,,, 
org::eclipse::pde::internal::ui::editor::feature::FeatureEditor ,33,3,5,29,378,0,1,1,255,28,72,1,2,0,11,151,71,2,,,,, 
org::eclipse::pde::internal::ui::editor::cheatsheet::comp::CompCSMasterTreeSection ,30,5,2,29,406,0,15,2,482,29,75,15,18,0,7,200,92,0,,,,, 
org::eclipse::pde::internal::ui::correction::BuildEntryMarkerResolution ,1,2,0,1,1,5,2,5,12,2,12,0,0,0,1,5,3,0,,,,, 
org::eclipse::pde::internal::ui::elements::NamedElement ,4,2,4,0,10,2,3,0,17,5,14,2,0,0,5,6,5,0,,,,, 
org::eclipse::pde::internal::ui::editor::contentassist::ManifestContentAssistProcessor ,22,2,1,21,666,0,21,0,646,37,18,10,11,1,6,471,218,1,,,,, 
org::eclipse::pde::internal::ui::editor::text::ReconcilingStrategy ,3,1,2,1,15,0,2,0,20,6,6,2,1,0,5,12,8,0,,,,, 
org::eclipse::pde::internal::ui::wizards::provisioner::DirectorySelectionPage ,5,1,1,4,21,0,8,0,114,7,0,7,2,1,2,36,13,2,,,,, 
org::eclipse::pde::internal::core::exports::ProductExportOperation ,39,2,1,38,351,0,3,7,613,27,32,3,20,0,2,362,143,6,,,,, 
org::eclipse::pde::internal::ui::editor::text::PDEDefaultInformationControl ,0,1,0,0,3,0,1,0,10,3,0,1,0,0,3,4,3,0,,,,, 
org::eclipse::pde::internal::ui::editor::plugin::PluginGeneralInfoSection ,17,4,1,16,136,0,4,1,166,17,39,4,8,0,5,91,47,0,,,,, 
org::eclipse::pde::internal::ui::templates::ide::NewWizardTemplate ,15,5,1,14,78,0,0,13,100,13,80,0,2,0,9,56,21,0,,,,, 
org::eclipse::pde::internal::ui::editor::plugin::ExtensionPointsPage ,9,2,1,8,6,0,3,0,37,4,28,2,0,0,2,21,10,0,,,,, 
