classname , cbo , dit , fanIn , fanOut , lcom , noc , numberOfAttributes , numberOfAttributesInherited , numberOfLinesOfCode , numberOfMethods , numberOfMethodsInherited , numberOfPrivateAttributes , numberOfPrivateMethods , numberOfPublicAttributes , numberOfPublicMethods , rfc , wmc , bugs ,,,,, 
org::eclipse::mylyn::internal::wikitext::tasks::ui::editor::TWikiMarkupTaskEditorExtension ,1,3,0,1,0,0,0,1,3,1,21,0,0,0,1,3,1,0,,,,, 
org::eclipse::mylyn::internal::bugzilla::ui::BugzillaHyperLink ,0,1,0,0,10,0,4,0,37,5,9,4,0,0,5,7,6,0,,,,, 
org::eclipse::mylyn::context::ui::AbstractFocusViewAction ,26,1,17,9,351,6,17,0,270,27,0,9,2,0,13,147,71,1,,,,, 
org::eclipse::mylyn::internal::java::ui::InterestUpdateDeltaListener ,6,1,2,4,15,0,1,0,75,6,9,1,3,0,3,34,16,0,,,,, 
org::eclipse::mylyn::internal::tasks::ui::AddExistingTaskJob ,7,1,3,4,1,0,3,0,68,2,0,3,0,0,2,10,4,1,,,,, 
org::eclipse::mylyn::internal::bugzilla::core::BugzillaVersion ,8,1,5,3,21,0,10,0,76,7,18,5,2,0,5,24,27,1,,,,, 
org::eclipse::mylyn::internal::trac::ui::editor::TracTaskEditorPage ,7,3,1,6,6,0,1,16,39,4,48,1,0,0,1,22,6,1,,,,, 
org::eclipse::mylyn::internal::jira::core::wsdl::beans::RemoteProjectRole ,4,1,2,2,66,0,6,0,70,12,18,6,0,0,12,28,32,0,,,,, 
org::eclipse::mylyn::context::tests::support::ResourceHelper ,6,1,2,4,10,0,2,0,89,5,9,2,2,0,3,27,12,0,,,,, 
org::eclipse::mylyn::internal::tasks::ui::editors::EditorBusyIndicator ,4,1,2,3,6,0,5,0,49,4,9,4,1,0,3,17,14,0,,,,, 
org::eclipse::mylyn::internal::team::ui::actions::ApplyPatchAction ,3,1,0,3,6,0,1,0,29,4,0,1,0,0,3,12,6,0,,,,, 
org::eclipse::mylyn::tasks::ui::editors::BrowserFormPage ,9,1,4,5,10,1,2,0,55,5,0,1,0,0,3,24,8,0,,,,, 
org::eclipse::mylyn::internal::sandbox::ui::views::ActiveSearchQuickView ,10,1,2,9,406,0,21,0,556,29,9,21,22,0,7,121,68,0,,,,, 
org::eclipse::mylyn::zest::core::viewers::AbstractZoomableViewer ,3,1,1,2,1,1,0,0,8,2,0,0,0,0,1,8,2,0,,,,, 
org::eclipse::mylyn::internal::wikitext::core::parser::builder::SplittingMarkupToEclipseToc ,3,2,1,2,1,0,0,0,9,2,21,0,0,0,1,4,3,0,,,,, 
org::eclipse::mylyn::internal::tasks::ui::deprecated::AbstractRepositoryQueryWizard ,7,1,0,7,3,0,4,0,30,3,0,1,0,0,3,14,8,0,,,,, 
org::eclipse::mylyn::internal::tasks::bugs::wizards::ReportErrorWizard ,5,1,1,5,3,0,5,0,20,3,0,5,0,0,3,12,4,0,,,,, 
org::eclipse::mylyn::internal::web::ui::WebResource ,7,1,5,2,36,3,1,0,22,9,19,0,0,0,8,13,7,0,,,,, 
org::eclipse::mylyn::internal::tasks::ui::workingsets::WorkingSetLabelComparator ,1,1,0,1,1,0,0,0,3,2,9,0,0,0,2,5,1,0,,,,, 
org::eclipse::mylyn::tasks::core::sync::SubmitJobEvent ,2,1,2,0,1,0,1,0,6,2,9,1,0,0,2,2,2,0,,,,, 
org::eclipse::mylyn::internal::tasks::ui::util::AttachmentUtil ,49,1,18,31,45,0,5,0,194,10,9,3,0,0,10,119,24,1,,,,, 
org::eclipse::mylyn::wikitext::core::parser::markup::phrase::HtmlStartTagPhraseModifier ,1,2,1,0,6,0,1,0,12,4,22,1,0,0,1,5,4,0,,,,, 
org::eclipse::mylyn::internal::jira::core::model::LinkType ,0,1,0,0,45,0,6,0,30,10,18,6,0,0,10,10,10,0,,,,, 
org::eclipse::mylyn::internal::tasks::ui::editors::RepositoryCompletionProcessor ,15,1,3,13,45,0,5,0,107,10,9,5,1,0,9,41,11,0,,,,, 
org::eclipse::mylyn::internal::tasks::ui::workingsets::TaskWorkingSetUpdater ,16,1,4,12,91,0,2,0,159,14,10,1,3,1,11,80,45,1,,,,, 
org::eclipse::mylyn::internal::wikitext::ui::editor::help::Messages ,2,1,1,1,1,0,2,0,9,2,9,2,1,0,1,3,2,1,,,,, 
org::eclipse::mylyn::internal::web::ui::WebResourceUiBridge ,5,2,0,5,21,0,0,0,29,7,16,0,0,0,7,12,10,0,,,,, 
org::eclipse::mylyn::internal::web::tasks::WebRepositoryConnector ,36,2,6,30,435,0,23,0,457,30,36,3,9,0,21,255,93,0,,,,, 
org::eclipse::mylyn::internal::tasks::core::AutomaticRepositoryTaskContainer ,5,4,3,2,36,2,2,0,24,9,51,1,0,0,8,14,7,0,,,,, 
org::eclipse::mylyn::tasks::ui::wizards::RepositoryQueryWizard ,15,1,5,10,6,1,1,0,41,4,0,1,0,0,4,23,8,0,,,,, 
org::eclipse::mylyn::internal::wikitext::textile::core::block::QuoteBlock ,9,3,1,8,6,0,8,4,66,4,43,7,0,0,4,28,16,0,,,,, 
org::eclipse::mylyn::internal::tasks::core::RepositoryPerson ,2,1,2,1,28,0,3,0,29,8,15,3,0,0,8,14,9,0,,,,, 
org::eclipse::mylyn::internal::team::ui::properties::TeamPropertiesLinkProvider ,5,1,4,1,6,0,1,0,41,4,9,1,0,0,4,19,10,0,,,,, 
org::eclipse::mylyn::internal::tasks::core::UnmatchedTaskContainer ,3,5,3,0,3,0,2,1,9,3,60,0,0,0,2,3,3,0,,,,, 
org::eclipse::mylyn::internal::ide::ui::IdeUiBridgePlugin ,2,1,2,0,10,0,3,0,15,5,0,1,0,0,5,8,5,0,,,,, 
org::eclipse::mylyn::internal::wikitext::ui::editor::syntax::MarkupDamagerRepairer ,1,1,1,0,1,0,0,0,6,2,0,0,0,0,2,2,2,0,,,,, 
org::eclipse::mylyn::internal::context::core::InteractionContextExternalizer ,19,1,2,17,10,0,16,0,86,5,9,0,0,0,4,44,14,0,,,,, 
org::eclipse::mylyn::internal::tasks::core::TaskAttachment ,8,1,6,2,325,1,13,0,83,26,33,13,0,0,26,29,26,0,,,,, 
org::eclipse::mylyn::internal::jira::core::wsdl::beans::RemoteIssue ,10,2,2,8,1035,0,23,0,288,46,35,23,0,0,46,159,166,0,,,,, 
org::eclipse::mylyn::internal::tasks::ui::actions::GroupSubTasksAction ,2,1,1,1,1,0,2,0,26,2,0,1,0,0,2,7,2,0,,,,, 
org::eclipse::mylyn::internal::context::ui::commands::CopyContextHandler ,7,2,0,7,0,0,1,1,41,1,2,1,0,0,0,18,6,0,,,,, 
org::eclipse::mylyn::tasks::core::data::TaskData ,112,1,110,3,55,0,7,0,41,11,9,7,0,0,11,15,11,0,,,,, 
org::eclipse::mylyn::internal::tasks::bugs::PluginRepositoryMappingManager ,8,1,3,5,28,0,13,0,92,8,9,13,3,0,5,47,17,0,,,,, 
org::eclipse::mylyn::wikitext::core::parser::markup::token::PatternLineBreakReplacementToken ,2,2,1,1,6,0,1,0,12,4,22,1,0,0,1,5,4,0,,,,, 
org::eclipse::mylyn::internal::wikitext::mediawiki::core::block::ParagraphBlock ,7,3,1,6,15,0,4,4,88,6,43,4,0,0,6,32,25,0,,,,, 
org::eclipse::mylyn::internal::tasks::ui::editors::LongTextAttributeEditor ,4,2,1,3,6,0,0,0,40,4,32,0,0,0,4,23,4,0,,,,, 
org::eclipse::mylyn::internal::wikitext::mediawiki::core::MediaWikiIdGenerationStrategy ,4,2,2,2,3,0,1,0,31,3,10,1,1,0,2,11,3,0,,,,, 
org::eclipse::mylyn::wikitext::textile::core::TextileLanguage ,44,3,17,28,66,0,2,6,120,12,57,2,0,0,6,61,18,1,,,,, 
org::eclipse::mylyn::internal::java::ui::editor::FocusedJavaProposalProcessor ,11,1,3,8,15,0,12,0,77,6,9,10,2,0,4,37,21,0,,,,, 
org::eclipse::mylyn::xplanner::wsdl::soap::domain::DomainData ,20,1,19,1,45,7,5,0,60,10,18,5,0,0,10,19,21,0,,,,, 
org::eclipse::mylyn::internal::bugzilla::core::GzipGetMethod ,1,1,1,0,3,0,1,0,16,3,0,1,0,0,3,6,4,0,,,,, 
org::eclipse::mylyn::internal::tasks::ui::editors::TaskUrlHyperlink ,1,1,1,0,1,0,0,0,6,2,0,0,0,0,2,3,2,0,,,,, 
org::eclipse::mylyn::internal::tasks::ui::OfflineCachingStorage ,5,1,2,5,153,0,8,0,166,18,16,8,6,0,12,81,40,0,,,,, 
org::eclipse::mylyn::tasks::core::data::TaskDataModelListener ,2,1,2,0,1,1,0,0,0,2,9,0,0,0,2,2,0,0,,,,, 
org::eclipse::mylyn::wikitext::core::util::IgnoreDtdEntityResolver ,3,1,1,2,1,0,1,0,9,2,18,0,0,0,2,6,6,0,,,,, 
org::eclipse::mylyn::internal::tasks::ui::DialogErrorReporter ,1,2,0,1,1,0,1,4,26,2,11,1,0,0,2,8,3,0,,,,, 
org::eclipse::mylyn::tasks::ui::wizards::NewTaskWizard ,7,1,2,5,21,3,2,0,61,7,0,2,0,0,6,26,9,0,,,,, 
org::eclipse::mylyn::internal::wikitext::twiki::core::token::LinkReplacementToken ,2,2,1,1,6,0,2,0,9,4,22,2,0,0,1,5,3,0,,,,, 
org::eclipse::mylyn::internal::bugzilla::ui::search::SavedQueryFile ,7,1,1,6,55,0,5,0,149,11,9,5,2,0,9,51,21,0,,,,, 
org::eclipse::mylyn::internal::tasks::ui::editors::RepositoryTaskEditorDropListener ,4,1,1,4,28,0,6,0,102,8,9,6,1,0,7,30,24,0,,,,, 
org::eclipse::mylyn::internal::wikitext::ui::editor::validation::AnnotationMarkupValidator ,6,2,0,6,6,0,0,4,56,4,20,0,0,0,2,31,13,1,,,,, 
org::eclipse::mylyn::context::core::ContextCore ,110,1,110,1,15,0,1,0,18,6,9,0,0,0,6,16,6,0,,,,, 
org::eclipse::mylyn::internal::tasks::ui::search::SearchHitCollector ,22,2,9,13,36,0,5,1,74,9,11,5,0,0,9,36,11,0,,,,, 
org::eclipse::mylyn::internal::wikitext::tracwiki::core::token::LineBreakToken ,2,2,1,1,6,0,0,0,9,4,22,0,0,0,1,5,3,0,,,,, 
org::eclipse::mylyn::internal::tasks::ui::views::TaskKeyComparator ,5,1,1,4,10,0,3,0,68,5,9,2,2,0,3,21,25,1,,,,, 
org::eclipse::mylyn::internal::tasks::ui::util::DownloadAttachmentJob ,7,1,1,6,1,0,2,0,27,2,0,2,0,0,1,12,2,0,,,,, 
org::eclipse::mylyn::zest::layouts::algorithms::CompositeLayoutAlgorithm ,5,2,2,3,28,0,1,8,43,8,63,0,0,1,2,14,10,0,,,,, 
